"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"2497",9120,1200,700,1,2,9,1,4,2,2,2,1,1
"2498",9999999,1200,700,1,1,9,1,0,2,2,2,2,2
"2499",16800,1200,700,1,1,9,3,0,2,2,2,1,2
"2500",26000,1000,1000,1,2,9,3,0,0,2,2,2,2
"2501",1050,2250,2250,1,2,9,4,0,0,2,2,2,2
"2502",160000,99999,99999,1,2,8,8,0,2,2,2,8,8
"2503",160000,99999,99999,1,2,9,3,0,2,2,2,2,2
"2504",26972,2250,385,1,2,9,3,2,2,2,2,1,2
"2505",58500,1284,480,1,2,9,3,4,2,2,2,1,1
"2506",735,1284,480,1,1,9,3,0,2,2,2,2,2
"2507",49000,1090,1090,1,2,5,4,0,2,2,2,2,2
"2508",8400,1500,1500,1,2,9,3,0,0,2,2,2,2
"2509",24000,875,875,1,2,2,1,0,2,2,2,1,2
"2510",100000,2150,2150,1,8,9,3,0,2,2,2,2,2
"2511",45000,1260,1260,1,2,8,4,0,2,2,2,8,8
"2512",70000,99999,99999,1,1,2,4,4,0,0,0,1,1
"2513",9999999,99999,99999,1,2,9,3,0,2,2,2,2,2
"2514",275000,99999,99999,1,2,9,2,0,2,2,2,2,2
"2515",140000,2150,2150,1,2,9,3,0,2,2,2,2,2
"2516",165000,2400,2400,1,2,9,4,0,2,2,2,2,2
"2517",100000,1850,1850,1,1,9,3,2,2,2,2,1,2
"2518",220000,1400,1400,1,2,9,3,4,2,2,2,2,2
"2519",-4600,2900,2900,1,2,5,2,2,0,2,2,2,1
"2520",162000,2500,2500,1,2,9,4,4,2,2,2,1,1
"2521",54000,2700,2700,1,2,2,5,2,2,2,2,1,2
"2522",120000,900,900,1,2,9,5,0,0,2,2,1,2
"2523",82000,900,900,1,2,9,5,0,2,2,0,2,2
"2524",75600,99999,99999,1,2,8,5,0,2,2,2,2,2
"2525",200000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2526",110000,1300,1300,1,1,4,2,4,0,0,0,2,1
"2527",65000,2600,2600,1,1,9,3,0,2,2,2,2,2
"2528",23000,1031,1031,1,2,9,4,2,2,2,2,1,2
"2529",190000,2100,2100,1,1,9,2,0,2,2,2,2,1
"2530",20500,1250,235,1,2,9,2,0,2,2,2,2,2
"2531",24056,1245,0,1,2,8,2,0,2,2,2,8,8
"2532",8760,1245,229,1,2,9,2,0,2,2,2,2,2
"2533",175000,1250,99998,1,2,8,2,0,2,2,2,8,8
"2534",93600,1250,229,1,2,8,3,0,2,2,2,8,8
"2535",107000,700,700,1,1,5,6,4,2,2,0,1,1
"2536",17800,800,800,1,2,9,4,4,2,2,2,2,1
"2537",17976,335,335,1,2,9,3,0,2,2,2,2,2
"2538",19608,775,200,1,2,9,3,0,2,2,2,2,2
"2539",108000,325,325,1,2,9,2,0,2,2,2,2,2
"2540",90468,3150,3150,1,2,9,6,0,2,2,0,2,2
"2541",118000,2800,2800,1,1,9,5,2,2,2,2,2,1
"2542",21000,1710,972,1,2,9,7,0,2,2,2,2,1
"2543",51950,2000,250,1,8,8,6,0,2,2,2,8,8
"2544",92000,5100,5100,1,2,9,7,2,2,2,2,1,2
"2545",149500,3200,3200,1,2,9,5,0,2,2,2,1,2
"2546",94200,700,700,2,2,9,5,0,0,2,4,2,2
"2547",22800,2400,2400,1,1,9,3,0,0,2,2,2,2
"2548",30000,1800,1800,1,2,9,2,0,0,2,0,2,2
"2549",31000,1450,1450,1,2,9,4,0,2,2,2,1,2
"2550",57000,1850,1850,1,2,9,4,0,2,2,2,2,2
"2551",29874,818,818,1,2,9,4,0,2,2,2,1,1
"2552",10796,942,207,1,1,9,1,0,0,0,0,2,2
"2553",32372,1080,785,1,2,9,1,0,2,2,2,2,2
"2554",13100,900,150,1,2,8,3,0,2,2,2,8,8
"2555",31000,99999,99999,1,2,9,4,0,2,2,2,1,2
"2556",28500,2000,650,1,2,5,5,4,2,2,2,1,1
"2557",15000,191,191,2,2,8,3,2,2,2,2,1,1
"2558",19000,250,250,1,2,9,3,0,2,2,2,1,2
"2559",28800,990,560,1,2,9,6,4,0,2,0,1,1
"2560",15000,535,315,2,2,3,1,4,2,2,2,1,2
"2561",50000,478,478,1,2,9,1,0,2,2,2,1,1
"2562",37000,830,830,1,2,9,6,4,2,2,2,2,1
"2563",15841,381,0,1,2,9,4,0,2,2,2,1,2
"2564",7200,191,191,1,1,9,2,0,2,2,2,2,2
"2565",9900,191,191,1,1,8,3,0,2,2,2,1,2
"2566",7800,365,365,1,2,9,3,2,2,2,2,2,2
"2567",14500,369,369,1,2,5,5,0,2,2,2,2,1
"2568",8736,600,600,1,2,9,5,0,2,2,2,2,1
"2569",64500,235,235,1,2,9,4,0,2,2,2,2,2
"2570",21000,550,550,1,2,3,4,0,2,2,2,1,1
"2571",76700,889,0,1,1,9,4,4,2,2,2,1,1
"2572",21780,1300,0,1,2,9,5,2,2,2,2,1,2
"2573",22000,831,831,1,2,2,4,2,2,2,2,1,2
